Upphandling;Positionsnr;Varuområde;Huvudgrupp;Varugrupp;Leverantör;Lev. Artnr;Artikelnamn;Producent;Märke;Innehåll;Fsgenhet;Kronor;Kilo;kr/kg;Färdigmängd kr/kg;% Utanför avtal;Ekologisk;MSC;Kravmärkt;Etisk;Fairtrade;Närproducerat;Produktens Tillverkningsland;Råvarans ursprungsland
-;-;Kolonial/Speceri;Mjöl;Vetemjöl;Skafferi Värmland;4208;Vetemjöl Fullkorn Ölandsvete Krav 4kg;Lundens Gård;Lundens Gård;1 x 4. KG;ST;  285,00;  12,00;  23,80;  23,80;  100,00;Ja;Nej;Ja;Nej;Nej;Ja;SVERIGE;SVERIGE
-;-;Kolonial/Speceri;Mjöl;Vetemjöl;Skafferi Värmland;506796;Vetemjöl Siktat Krav 2kg;Björkaholm Qvarn AB;Björkaholm Qvarn;5 x 2. KG;KRT;  1575,20;  110,00;  14,30;  14,30;  100,00;Ja;Nej;Ja;Nej;Nej;Ja;SVERIGE;SVERIGE
-;-;Kolonial/Speceri;Mjöl;Vetemjöl;Skafferi Värmland;57689;Vetemjöl Krav 10kg;Björkaholm Qvarn AB;Björkaholm Qvarn;1 x 10. KG;ST;  666,00;  50,00;  13,30;  13,30;  100,00;Ja;Nej;Ja;Nej;Nej;Ja;SVERIGE;SVERIGE
-;-;Kolonial/Speceri;Mjöl;Vetemjöl;Skafferi Värmland;66020;Björkaholm Fullkornsvetemjöl Krav kg;Björkaholm Qvarn AB;Björkaholm Qvarn;1 x 1. KG;ST;  515,52;  36,00;  14,30;  14,30;  100,00;Ja;Nej;Ja;Nej;Nej;Ja;SVERIGE;SVERIGE
-;-;Kolonial/Speceri;Mjöl;Vetemjöl;Skafferi Värmland;744;Vetemjöl 2kg;Fagerås Kvarn och Foder AB;Fagerås Kvarn;1 x 2. KG;ST;  655,16;  44,00;  14,90;  14,90;  100,00;Nej;Nej;Nej;Nej;Nej;Ja;SVERIGE;SVERIGE
-;-;Kolonial/Speceri;Socker/sötningsmedel;Honung;Skafferi Värmland;5445;Honung Värmländsk Öxnevåls Gård 4.8kg;Skafferi Värmland;Skafferi Värmland;1 x 4.8 KG;ST;  1920,00;  19,20;  100,00;  100,00;  100,00;Nej;Nej;Nej;Nej;Nej;Ja;SVERIGE;Uppgift saknas
-;-;Kolonial/Speceri;Sylt/marmelad/gelé;Jordgubbssylt;Skafferi Värmland;123;Torfolk Jordgubbssylt Krav 12kg;Torfolks Gård;Torfolks Gård;1 x 12. KG;ST;  10625,00;  204,00;  52,10;  52,10;  100,00;Ja;Nej;Ja;Nej;Nej;Ja;SVERIGE;Uppgift saknas
-;-;Kolonial/Speceri;Sylt/marmelad/gelé;Lingonsylt;Skafferi Värmland;122;Torfolk Lingonsylt Krav 5kg;Torfolks Gård;Torfolks Gård;1 x 5. KG;ST;  35762,90;  545,00;  65,60;  65,60;  100,00;Ja;Nej;Ja;Nej;Nej;Ja;SVERIGE;Uppgift saknas
-;-;Kolonial/Speceri;Sylt/marmelad/gelé;Pannkakssylt;Skafferi Värmland;125;Pannkaksylt Hink 5kg;Torfolks Gård;Torfolks Gård;1 x 5. KG;ST;  2937,00;  55,00;  53,40;  53,40;  100,00;Nej;Nej;Nej;Nej;Nej;Ja;SVERIGE;Uppgift saknas
-;-;Kolonial/Speceri;Sylt/marmelad/gelé;Pannkakssylt;Skafferi Värmland;134;Pannkakssylt Krav 750g;Torfolks Gård;Torfolks Gård;6 x 0.75 KG;KRT;  1272,60;  22,50;  56,60;  56,60;  100,00;Ja;Nej;Ja;Nej;Nej;Ja;SVERIGE;Import
-;-;Kolonial/Speceri;Öl;Öl klass 1;Skafferi Värmland;D021;Fryken Lättöl 2,2% 33cl;Västra Ämteviks Bryggeri AB;Västra Ämteviks Bryggeri;1 x 0.33 L;ST;  290,00;  6,60;  43,90;  43,90;  100,00;Nej;Nej;Nej;Nej;Nej;Ja;SVERIGE;Uppgift saknas
